Lineales,Interacciones,MAE
"['edad_padre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8778058174382429
"['edad_padre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8778058174382432
"['edad_padre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8778058174382433
"['aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8778128123985358
"['visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8778128123985358
"['edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8778128123985361
"['edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_madre', 'visitas_medico']",0.8778128123985361
"['edad_padre', 'edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.877917816916644
"['edad_padre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.877917816916644
"['edad_padre', 'edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.877917816916644
"['edad_padre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_madre', 'visitas_medico']",0.8779178169166443
"['edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8779764155593875
"['edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8779764155593875
"['edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8779764155593875
"['edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8779764155593875
"['edad_padre', 'edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8779867837248557
"['edad_padre', 'edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8779867837248558
"['edad_padre', 'edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8779867837248558
"['edad_padre', 'edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8779867837248561
"['edad_padre', 'edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8782806322180928
"['edad_padre', 'edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8782806322180928
"['edad_padre', 'edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8782806322180932
"['edad_padre', 'edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8782806322180932
